From,Destination,City,Type,Distance (km),Duration (Days),Budget,Cost (BDT)
Barisal,Jatiyo Sriti Shoudho,Savar,Historical Palace,201,1,Low,2795
Chittagong,Jatiyo Sriti Shoudho,Savar,Historical Palace,278,1,Medium,2236
Dhaka,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,40,1,Low,1653
Cumilla,Baliadi  Zamindar Bari,Gazipur,Historical Palace,151,1,Low,1114
Barisal,Chimbuk Hill,Bandarban,Hills,327,6,High,6818
Chittagong,Sundarbans,Satkhira,Forest,547,1,Low,3861
Cumilla,Dhanmondi Lake,Dhaka,Park,562,1,Medium,1580
Rangpur,Lawachara National Park,Sylhet,Park,447,1,Medium,1628
Dhaka,Kuakata Beach,Barisal,Sea Beach,298,4,Medium,11324
Chittagong,Lawachara National Park,Sylhet,Park,309,1,Low,1664
Barisal,Bhawal National Park,Gazipur,Park,209,1,Medium,1985
Cumilla,Chimbuk Hill,Bandarban,Hills,236,4,Medium,8774
Mymensingh,Saint Martin's Island,Cox's Bazar,Island,585,5,Medium,10693
Barisal,Shahjalal Dargah,Sylhet,Historical Palace,385,1,Medium,2282
Dhaka,Nafakhum Waterfall,Bandarban,Waterfall,350,3,Medium,3078
Dhaka,Baliati  Zamindar Bari,Manikganj,Historical Palace,72,1,Low,996
Sylhet,Mohera Jamindar Bari,Tangail,Historical Palace,291,1,Low,1754
Cumilla,Bhola Circuit House,Bhola,Picnic Spot,140,1,Low,1693
Sylhet,Khoiyachora Jhorna,Chittagong,Waterfall,306,1,Low,4669
Khulna,Shilaidaha Kuthibari,Kushtia,Historical Palace,167,1,Low,1142
Sylhet,Nilachal,Bandarban,Hills,429,5,Medium,11417
Dhaka,Basher Kella,Dinajpur,Historical Palace,333,1,Low,2117
Dhaka,Bangladesh National Meusium,Dhaka,Historical Palace,12,1,Low,1729
Khulna,Jadukata River,Sunamganj,Picnic Spot,484,1,Low,2992
Mymensingh,Shoshi Lodge,Mymensingh,Historical Palace,3,1,Low,1669
Chittagong,Bangabandhu Bridge,Tangail,Historical Palace,362,1,Medium,1571
Khulna,Maheshkhali Island,Cox's Bazar,Island,452,4,High,17342
Khulna,Buddha Dhatu Jadi,Bandarban,Historical Palace,423,1,Low,1789
Rajshahi,Maheshkhali Island,Cox's Bazar,Island,598,3,High,9107
Khulna,Lawachara National Park,Sylhet,Park,388,1,Medium,2769
Barisal,Madhupur National Park,Tangail,Forest,310,1,Medium,4632
Chittagong,Takerghat Limestone,Sunamganj,Picnic Spot,344,1,Low,2048
Dhaka,Mohamaya Eco Park,Chittagong,Picnic Spot,193,1,Low,1354
Sylhet,Ratargul Swamp Forest,Sylhet,Forest,53,1,Low,1147
Sylhet,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,236,1,Low,2172
Cumilla,Lalakhal,Sylhet,Picnic Spot,258,1,Medium,1843
Dhaka,Shaheed Suhrawardy Udyan,Dhaka,Park,12,1,Low,1366
Rajshahi,Meghla Tourist Complex,Bandarban,Hills,565,5,Medium,11891
Mymensingh,Shahporan Dargah,Sylhet,Historical Palace,204,1,Medium,2918
Cumilla,Bangabandhu Safari Park,Gazipur,Park,151,1,Low,1662
Mymensingh,Foy's Lake,Chittagong,Park,362,1,Low,2500
Sylhet,Fatra's Char,Patuakhali,Island,513,7,Medium,7974
Dhaka,Baliadi  Zamindar Bari,Gazipur,Historical Palace,48,1,Low,1695
Chittagong,Foy's Lake,Chittagong,Park,10,1,Low,819
Dhaka,Mujibnagar Smriti Complex,Meherpur,Historical Palace,273,1,Medium,1559
Dhaka,Shahporan Dargah,Sylhet,Historical Palace,242,1,Medium,2116
Khulna,Bhawal National Park,Gazipur,Park,247,1,Low,2863
Cumilla,Inani Beach,Cox's Bazar,Sea Beach,308,5,High,17838
Rajshahi,Chor Kukri Mukri,Bhola,Island,453,6,High,12508
Rangpur,"Chhatak,lal pahar Haor",Sunamganj,Picnic Spot,524,1,Medium,2498
Cumilla,Dhakeshwari Temple,Dhaka,Historical Palace,226,1,Medium,2980
Sylhet,Boga Lake,Bandarban,Hills,480,3,Medium,8403
Sylhet,Boga Lake,Bandarban,Hills,480,3,High,6233
Chittagong,Meghla Tourist Complex,Bandarban,Hills,70,1,Medium,4867
Rajshahi,Cox's Bazar Sea Beach,Cox's Bazar,Sea Beach,643,7,High,16932
Cumilla,Ramsagar National Park,Dinajpur,Park,442,1,Medium,1939
Rangpur,Nikli Haor,Kishoreganj,Picnic Spot,361,1,Medium,2676
Rangpur,Narikelbaria Jamidar Bari,Jhenaidah,Historical Palace,303,1,Medium,2183
Rangpur,Shahporan Dargah,Sylhet,Historical Palace,505,1,Low,2967
Chittagong,Chimbuk Hill,Bandarban,Hills,87,3,High,3628
Cumilla,Kurigram Eco Park,Kurigram,Park,442,1,Low,1727
Chittagong,Baliadi  Zamindar Bari,Gazipur,Historical Palace,299,1,Medium,1584
Chittagong,Dhakeshwari Temple,Dhaka,Historical Palace,246,1,Low,2258
Cumilla,Tilagor Eco Park,Sylhet,Park,215,1,Medium,2050
Dhaka,Maheshkhali Island,Cox's Bazar,Island,355,3,Medium,19291
Rangpur,Shoshi Lodge,Mymensingh,Historical Palace,285,1,Medium,2373
Mymensingh,Bayazid Bostami Shrine,Chittagong,Historical Palace,360,1,Low,2712
Chittagong,Tindur Waterfall,Bandarban,Waterfall,123,3,Medium,3926
Mymensingh,Bangladesh National Zoo,Dhaka,Park,117,1,Low,1348
Dhaka,Modhutila Eco Park,Sherpur,Park,196,1,Low,1252
Cumilla,Rajbari Palace,Rajbari,Historical Palace,147,1,Low,1418
Sylhet,Madhabkunda Waterfall,Moulvibazar,Waterfall,73,1,Low,964
Cumilla,Saint Martin's Island,Cox's Bazar,Island,391,7,High,8217
Cumilla,Aparajeyo Bangla,Dhaka,Historical Palace,381,1,Medium,1562
Khulna,Patenga Beach,Chittagong,Sea Beach,353,7,Medium,14433
Chittagong,Paharpur Buddhist Monastery,Naogaon,Historical Palace,496,1,Medium,2254
Chittagong,Chandranath Hill,Chittagong,Hills,73,3,Medium,2396
Chittagong,Patenga Beach,Chittagong,Sea Beach,24,7,High,13600
Cumilla,Buddha Dhatu Jadi,Bandarban,Historical Palace,295,1,Medium,1757
Chittagong,Lawachara National Park,Sylhet,Park,309,1,Medium,1565
Mymensingh,Madhupur National Park,Tangail,Forest,44,1,Low,934
Barisal,Muktagacha ZamidarBari,Mymensingh,Historical Palace,304,1,Medium,2930
Rajshahi,Khoiyachora Jhorna,Chittagong,Waterfall,446,1,Medium,4770
Chittagong,Sajek Valley,Rangamati,Hills,170,1,High,3718
Mymensingh,Bangabandhu Safari Park,Gazipur,Park,76,1,Low,426
Khulna,Hardinge Bridge,Kushtia,Historical Palace,176,1,Low,1094
Khulna,Niladri Lake,Sunamganj,Picnic Spot,505,1,Low,2025
Dhaka,Ghoraghat Fort,Dinajpur,Historical Palace,239,1,Medium,2869
Chittagong,Sreemangal,Moulvibazar,Picnic Spot,301,1,Medium,2617
Cumilla,Keokradong,Bandarban,Hills,35,1,Medium,2377
Barisal,Nilachal,Bandarban,Hills,311,5,Medium,6106
Chittagong,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,566,1,Low,2842
Chittagong,Alutila Cave,Khagrachari,Hills,100,2,Medium,2011
Barisal,Modhutila Eco Park,Sherpur,Park,375,1,Medium,2869
Rangpur,Chimbuk Hill,Bandarban,Hills,632,5,High,10806
Rajshahi,Pachgaon Waterfall,Netrokona,Hills,325,5,High,8985
Barisal,Kaptai Lake,Rangamati,Picnic Spot,301,1,Medium,2988
Dhaka,Chimbuk Hill,Bandarban,Hills,339,3,High,11961
Barisal,Shitolaksha Waterfront Resort,Narayanganj,Picnic Spot,198,1,Low,1108
Khulna,Bayazid Bostami Shrine,Chittagong,Historical Palace,341,1,Medium,1560
Khulna,Lalakhal,Sylhet,Picnic Spot,487,1,Low,2543
Rajshahi,Chandranath Hill,Chittagong,Hills,461,6,Medium,10364
Chittagong,Kaptai National Park,Rangamati,Park,49,1,Low,357
Chittagong,Shahporan Dargah,Sylhet,Historical Palace,367,1,Low,2311
Barisal,Baniachong Raj Bari,Habiganj,Historical Palace,338,1,Medium,2584
Dhaka,Boga Lake,Bandarban,Hills,376,6,Medium,6213
Rangpur,Shitolaksha Waterfront Resort,Narayanganj,Picnic Spot,304,1,Low,2760
Mymensingh,Foy's Lake,Chittagong,Park,362,1,Medium,2858
Cumilla,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,73.4,1,Low,304
Sylhet,Shaheed Suhrawardy Udyan,Dhaka,Park,246,1,Medium,1992
Sylhet,Chandranath Hill,Chittagong,Hills,321,6,High,5591
Cumilla,Kantaji Temple,Dinajpur,Historical Palace,454,1,Medium,2712
Cumilla,Baliati Jamidar Bari,Manikganj,Historical Palace,165,1,Low,1771
Mymensingh,Gorai Riverbank,Tangail,Picnic Spot,248,1,Medium,2509
Sylhet,Sajek Valley,Rangamati,Hills,439,4,Medium,8482
Rajshahi,Saint Martin's Island,Cox's Bazar,Island,737,6,Medium,16053
Khulna,Muktagacha ZamidarBari,Mymensingh,Historical Palace,342,1,Medium,2947
Rajshahi,Chimbuk View Point,Bandarban,Hills,448,6,High,6560
Rajshahi,Ramsagar National Park,Dinajpur,Park,201,1,Medium,1554
Rajshahi,Boga Lake,Bandarban,Hills,620,6,Medium,7080
Cumilla,Dinajpur Rajbari,Dinajpur,Historical Palace,437,1,Low,2032
Chittagong,Rangamati Hanging Bridge,Rangamati,Hills,69,1,High,4809
Khulna,Sreemangal,Moulvibazar,Picnic Spot,380,1,Medium,2221
Cumilla,Keokradong,Bandarban,Hills,283,3,Medium,11457
Khulna,Birishiri,Netrokona,Picnic Spot,379,1,Low,1568
Rangpur,Sreemangal,Moulvibazar,Picnic Spot,439,1,Medium,1797
Rajshahi,Dhakeshwari Temple,Dhaka,Historical Palace,257,1,Medium,1559
Dhaka,Bangladesh National Meusium,Dhaka,Historical Palace,12,1,Low,1986
Cumilla,Pachgaon Waterfall,Netrokona,Hills,241,6,Medium,9529
Rangpur,Tindur Waterfall,Bandarban,Waterfall,670,2,Low,3738
Khulna,Meghla Tourist Complex,Bandarban,Hills,414,4,High,5722
Cumilla,Shahjalal Dargah,Sylhet,Historical Palace,211,1,Low,1900
Cumilla,Teliapara Tea Garden,Habiganj,Picnic Spot,295,1,Low,1673
Dhaka,Suagazi Zamindar Bari,Cumilla,Historical Palace,119,1,Low,1925
Barisal,Boga Lake,Bandarban,Hills,365,3,Medium,5523
Cumilla,Tilagor Eco Park,Sylhet,Park,215,1,Medium,2177
Dhaka,Gunahar Saheb Bari,Naogaon,Historical Palace,219,1,Medium,1849
Rangpur,Ratargul Swamp Forest,Sylhet,Forest,520,1,Medium,4928
Sylhet,Ratargul Swamp Forest,Sylhet,Forest,53,1,Low,1056
Cumilla,Fatra's Char,Patuakhali,Island,272,6,Medium,8984
Sylhet,Meghla Tourist Complex,Bandarban,Hills,429,5,High,7526
Rangpur,Shoshi Lodge,Mymensingh,Historical Palace,285,1,Medium,1588
Chittagong,Jadipai Waterfall,Bandarban,Waterfall,138,3,Low,4517
Dhaka,Baniachong Zamindar Bari,Habiganj,Historical Palace,172,1,Low,1790
Rangpur,Himchari National Park,Cox's Bazar,Park,703,1,Low,2998
Rangpur,Maheshkhali Island,Cox's Bazar,Island,648,3,Medium,8893
Rajshahi,Teliapara Managers Bunglow Nation Tea Estate,Habiganj,Picnic Spot,343,1,Low,2967
Mymensingh,Shitolaksha River,Narayanganj,Picnic Spot,120,1,Low,1178
Rangpur,Mahasthangarh,Bogura,Historical Palace,95,1,Low,1835
Rangpur,Balihar Rajbari,Naogaon,Historical Palace,167,1,Low,1087
Mymensingh,Hardinge Bridge,Kushtia,Historical Palace,219,1,Medium,2613
Sylhet,Pachgaon Waterfall,Netrokona,Hills,170,3,High,4465
Sylhet,Ratargul Swamp Forest,Sylhet,Forest,53,1,Low,729
Rangpur,Shalban Vihara,Cumilla,Historical Palace,399,1,Medium,1567
Sylhet,Dinajpur Rajbari,Dinajpur,Historical Palace,536,1,Low,1547
Cumilla,Takerghat Limestone,Sunamganj,Picnic Spot,31,1,Low,1067
Chittagong,Shalban Vihara,Cumilla,Historical Palace,153,1,Low,1668
Rangpur,Ahsan Monjil,Dhaka,Historical Palace,307,1,Medium,2777
Rajshahi,Mohera Zamindar Bari,Tangail,Historical Palace,181,1,Low,1428
Chittagong,Bangabandhu Safari Park,Gazipur,Park,299,1,Low,1746
Barisal,Teliapara Managers Bunglow Nation Tea Estate,Habiganj,Picnic Spot,295,1,Low,2348
Khulna,Mawa Ghat,Munshiganj,Picnic Spot,171,1,Low,1399
Chittagong,Lalakhal,Sylhet,Picnic Spot,409,1,Medium,1653
Chittagong,Chandranath Hill,Chittagong,Hills,73,2,Medium,4454
Cumilla,Malnichhara Tea Garden,Sylhet,Picnic Spot,121,1,Low,1711
Chittagong,Jatiyo Sriti Shoudho,Savar,Historical Palace,278,1,Low,2569
Mymensingh,Chandranath Temple,Chittagong,Historical Palace,329,1,Medium,2495
Rangpur,Chandradinga,Netrokona,Hills,375,5,High,6478
Sylhet,Mujibnagar Eco Park,Meherpur,Park,478,1,Low,2515
Mymensingh,Hardinge Bridge,Kushtia,Historical Palace,219,1,Medium,1855
Mymensingh,Chor Kukri Mukri,Bhola,Island,410,6,High,5758
Dhaka,Baliadi  Zamindar Bari,Gazipur,Historical Palace,48,1,Low,1551
Rangpur,Lalakhal,Sylhet,Picnic Spot,546,1,Low,1692
Rangpur,Ratargul Swamp Forest,Sylhet,Forest,520,1,Medium,3133
Rangpur,Hardinge Bridge,Kushtia,Historical Palace,226,1,Medium,2512
Khulna,Nilachal,Bandarban,Hills,414,6,Medium,10134
Sylhet,Dulahazara Safari Park,Cox's Bazar,Park,458,1,Medium,2522
Khulna,Himchari National Park,Cox's Bazar,Park,502,1,Medium,2379
Cumilla,Manikganj Zamindar Bari,Manikganj,Historical Palace,139,1,Low,1136
Barisal,Chandranath Temple,Chittagong,Historical Palace,207,1,Low,2360
Mymensingh,Tindur Waterfall,Bandarban,Waterfall,486,3,Medium,3881
Mymensingh,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,311,1,Low,2571
Mymensingh,Patenga Beach,Chittagong,Sea Beach,373,5,High,19124
Rajshahi,Sajek Valley,Rangamati,Hills,579,6,Medium,10571
Chittagong,Mohamaya Eco Park,Chittagong,Picnic Spot,81,1,Low,389
Mymensingh,Shangu River,Bandarban,Picnic Spot,502,1,Low,2198
Sylhet,Hatirjheel,Dhaka,Picnic Spot,247,1,Low,1784
Mymensingh,Dulahazara Safari Park,Cox's Bazar,Park,469,1,Low,2964
Sylhet,Madhabkunda Waterfall,Moulvibazar,Waterfall,73,1,Low,631
Sylhet,Hatirjheel,Dhaka,Picnic Spot,247,1,Medium,1655
Rangpur,Sreemangal,Moulvibazar,Picnic Spot,439,1,Low,2926
Chittagong,Fatra's Char,Patuakhali,Island,339,4,High,12008
Chittagong,Patenga Beach,Chittagong,Sea Beach,24,3,Medium,16925
Khulna,Fatra's Char,Patuakhali,Island,216,3,High,18892
Rajshahi,Maheshkhali Island,Cox's Bazar,Island,598,7,Medium,16188
Mymensingh,Mohera Zamindar Bari,Tangail,Historical Palace,117,1,Low,1194
Cumilla,Cholon Beel,Sirajganj,Picnic Spot,275,1,Medium,1817
Cumilla,Kurigram Eco Park,Kurigram,Park,442,1,Low,2670
Cumilla,Bhola Circuit House,Bhola,Picnic Spot,690,1,Low,1831
Rangpur,Lalon Shah Mazar,Kushtia,Historical Palace,256,1,Medium,2145
Mymensingh,Kuakata Beach,Barisal,Sea Beach,408,4,Medium,7338
Chittagong,Rangamati Hanging Bridge,Rangamati,Hills,69,1,High,4970
Sylhet,Himchari National Park,Cox's Bazar,Park,510,1,Low,2884
Chittagong,Kurigram Eco Park,Kurigram,Park,590,1,Medium,1586
Barisal,Nilachal,Bandarban,Hills,311,4,Medium,11061
Rajshahi,Khoiyachora Jhorna,Chittagong,Waterfall,446,2,Medium,2632
Rajshahi,Dinajpur Rajbari,Dinajpur,Historical Palace,197,1,Low,1415
Barisal,Boga Lake,Bandarban,Hills,365,6,High,7511
Rangpur,Shoshi Lodge,Mymensingh,Historical Palace,285,1,Medium,1959
Rangpur,Shahjalal Dargah,Sylhet,Historical Palace,499,1,Medium,2991
Cumilla,Pirganj Jamidar Bari,Thakurgaon,Historical Palace,406,1,Medium,2445
Rajshahi,Shangu River,Bandarban,Picnic Spot,634,1,Medium,1984
Rajshahi,Jadipai Waterfall,Bandarban,Waterfall,633,1,Medium,2577
Mymensingh,Ahsan Monjil,Dhaka,Historical Palace,124,1,Low,1449
Rangpur,Sundarbans,Satkhira,Forest,453,1,Low,4104
Sylhet,Patenga Beach,Chittagong,Sea Beach,369,7,Medium,7627
Rajshahi,Chimbuk Hill,Bandarban,Hills,582,5,High,11310
Cumilla,Panchagarh Tea Estate,Panchagarh,Picnic Spot,548,1,Low,2608
Barisal,Bichanakandi,Sylhet,Picnic Spot,423,1,Low,2964
Rajshahi,Sundarbans,Satkhira,Forest,309,3,Medium,2513
Rangpur,Chandranath Hill,Chittagong,Hills,508,4,High,6550
Khulna,Alutila Cave,Khagrachari,Hills,357,6,High,11457
Dhaka,Panam City,Narayanganj,Historical Palace,40,1,Low,1874
Rangpur,Paharpur Buddhist Monastery,Naogaon,Historical Palace,112,1,Low,1256
Dhaka,Shoshi Lodge,Mymensingh,Historical Palace,115,1,Low,1171
Dhaka,Himchari National Park,Cox's Bazar,Park,410,1,Low,2851
Cumilla,Fatra's Char,Patuakhali,Island,272,5,High,8277
Cumilla,Kuakata Beach,Patuakhali,Sea Beach,374,7,Medium,10637
Rajshahi,Jaflong,Sylhet,Picnic Spot,508,1,Medium,1702
Cumilla,Bangabandhu Safari Park,Gazipur,Park,151,1,Low,1488
Cumilla,Fultola Zamindar Bari,Jhenaidah,Historical Palace,188,1,Low,1929
Barisal,Zaflong Tea Garden,Sylhet,Picnic Spot,441,1,Low,2234
Rajshahi,Tanguar Haor,Sunamganj,Picnic Spot,515,1,Low,1921
Rajshahi,Maheshkhali Island,Cox's Bazar,Island,598,7,Medium,6101
Sylhet,Tilagor Eco Park,Sylhet,Park,8,1,Low,1187
Cumilla,Nilachal,Bandarban,Hills,220,5,High,9415
Mymensingh,Muktagacha ZamidarBari,Mymensingh,Historical Palace,23,1,Low,847
Mymensingh,Chor Kukri Mukri,Bhola,Island,410,6,High,18899
Rangpur,Alutila Cave,Khagrachari,Hills,558,6,High,9253
Cumilla,Dhakeshwari Temple,Dhaka,Historical Palace,226,1,Low,2894
Dhaka,Niladri Lake,Sunamganj,Picnic Spot,310,1,Medium,2966
Barisal,Shahporan Dargah,Sylhet,Historical Palace,391,1,Medium,1705
Rajshahi,Fatra's Char,Patuakhali,Island,431,6,Medium,11564
Khulna,Lalakhal,Sylhet,Picnic Spot,487,1,Low,2897
Dhaka,Panam City,Narayanganj,Historical Palace,40,1,Low,690
Rangpur,Tanguar Haor,Sunamganj,Picnic Spot,565,1,Low,1599
Cumilla,Madhupur National Park,Tangail,Forest,242,3,Low,4444
Barisal,Bhawal National Park,Gazipur,Park,209,1,Low,2006
Chittagong,Manikganj Zamindar Bari,Manikganj,Historical Palace,313,1,Low,2150
Rajshahi,Ghoraghat Fort,Dinajpur,Historical Palace,159,1,Low,1456
Cumilla,Tanguar Haor,Sunamganj,Picnic Spot,277,1,Medium,2094
Cumilla,Tindur Waterfall,Bandarban,Waterfall,274,3,Medium,3529
Rajshahi,Shangu River,Bandarban,Picnic Spot,634,1,Low,1713
Rajshahi,Chor Kukri Mukri,Bhola,Island,453,5,Medium,5862
Sylhet,Chandradinga,Netrokona,Hills,169,1,High,3992
Dhaka,Binoy Bhushon Sahar Bari,Rajbari,Historical Palace,138,1,Low,1713
Sylhet,Chandraghona Paper Mills,Rangamati,Historical Palace,395,1,Low,2424
Mymensingh,Niladri Lake,Sunamganj,Picnic Spot,179,1,Low,1218
Sylhet,Khoiyachora Jhorna,Chittagong,Waterfall,306,2,Medium,3093
Khulna,Lawachara National Park,Sylhet,Park,388,1,Low,1564
Barisal,Shangu River,Bandarban,Picnic Spot,379,1,Low,2087
Sylhet,Mahasthangarh,Bogura,Historical Palace,406,1,Low,1503
Mymensingh,Sitakunda Eco Park,Chittagong,Park,330,1,Low,2606
Sylhet,Chor Kukri Mukri,Bhola,Island,535,4,Medium,15918
Mymensingh,Meghla Tourist Complex,Bandarban,Hills,432,5,High,9505
Rajshahi,Swapnapuri Amusement Park,Dinajpur,Picnic Spot,165,1,Low,1821
Sylhet,Nafakhum Waterfall,Bandarban,Waterfall,360,3,Medium,4053
Cumilla,Foy's Lake,Chittagong,Park,149,1,Low,1649
Cumilla,Jaflong,Sylhet,Picnic Spot,269,1,Medium,2863
Khulna,Shoshi Lodge,Mymensingh,Historical Palace,328,1,Low,1590
Cumilla,Manikganj Zamindar Bari,Manikganj,Historical Palace,139,1,Low,1593
Cumilla,Ahsan Monjil,Dhaka,Historical Palace,96,1,Low,1322
Cumilla,Shahporan Dargah,Sylhet,Historical Palace,216,1,Low,2150
Rajshahi,Shahporan Dargah,Sylhet,Historical Palace,456,1,Low,1555
Barisal,Paharpur Buddhist Monastery,Naogaon,Historical Palace,365,1,Medium,1675
Mymensingh,Panam City,Narayanganj,Historical Palace,147,1,Low,1953
Cumilla,Tindur Waterfall,Bandarban,Waterfall,274,1,Medium,1814
Sylhet,Jaflong,Sylhet,Picnic Spot,50,1,Low,1342
Chittagong,Suagazi Zamindar Bari,Cumilla,Historical Palace,139,1,Low,1415
Khulna,Satchari National Park,Habiganj,Park,339,1,Low,1830
Barisal,Tindur Waterfall,Bandarban,Waterfall,365,1,Low,3600
Dhaka,Binoy Bhushon Sahar Bari,Rajbari,Historical Palace,138,1,Low,1599
Chittagong,Zinda Park,Narayanganj,Picnic Spot,268,1,Low,2110
Cumilla,Dhanmondi Lake,Dhaka,Park,562,1,Low,2027
Mymensingh,Teknaf Beach,Teknaf,Sea Beach,576,3,Medium,10895
Dhaka,Foy's Lake,Chittagong,Park,252,1,Low,2246
Rangpur,Suagazi Zamindar Bari,Cumilla,Historical Palace,412,1,Medium,1596
Rajshahi,Foy's Lake,Chittagong,Park,495,1,Medium,2857
Rangpur,Himchari National Park,Cox's Bazar,Park,703,1,Low,1871
Rajshahi,Teknaf Beach,Teknaf,Sea Beach,709,3,High,15261
Barisal,Tindur Waterfall,Bandarban,Waterfall,365,1,Medium,2489
Cumilla,Basher Kella,Dinajpur,Historical Palace,543,1,Medium,2040
Chittagong,Sreemangal,Moulvibazar,Picnic Spot,301,1,Medium,1630
Rangpur,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,329,1,Medium,1596
Rajshahi,Shoshi Lodge,Mymensingh,Historical Palace,236,1,Medium,2456
Rangpur,Kurigram Eco Park,Kurigram,Park,47,1,Low,806
Rajshahi,Baliati Jamidar Bari,Manikganj,Historical Palace,205,1,Low,1775
Sylhet,Jadipai Waterfall,Bandarban,Waterfall,493,2,Low,1656
Cumilla,Chandranath Hill,Chittagong,Hills,115,1,Medium,3447
Dhaka,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,40,1,Low,395
Barisal,Nikli Haor,Kishoreganj,Picnic Spot,272,1,Medium,2071
Khulna,Bangladesh National Meusium,Dhaka,Historical Palace,207,1,Medium,2797
Sylhet,Shoshi Lodge,Mymensingh,Historical Palace,281,1,Medium,1614
Rangpur,Tindur Waterfall,Bandarban,Waterfall,670,1,Medium,4074
Barisal,Inani Beach,Cox's Bazar,Sea Beach,404,7,Medium,9894
Cumilla,Keokradong,Bandarban,Hills,283,5,Medium,10467
Cumilla,Muktagacha ZamidarBari,Mymensingh,Historical Palace,233,1,Medium,2077
Rajshahi,Khoiyachora Jhorna,Chittagong,Waterfall,446,1,Medium,1731
Chittagong,Muktagacha ZamidarBari,Mymensingh,Historical Palace,381,1,Medium,1888
Dhaka,Shaheed Suhrawardy Udyan,Dhaka,Park,12,1,Low,1133
Chittagong,Bangladesh National Meusium,Dhaka,Historical Palace,245,1,Medium,2687
Mymensingh,Mawa Ghat,Munshiganj,Picnic Spot,164,1,Low,1667
Barisal,Chor Kukri Mukri,Bhola,Island,127,3,High,16459
Dhaka,Chhatak Haor,Sunamganj,Picnic Spot,257,1,Low,2427
Khulna,Lalbagh Fort,Dhaka,Historical Palace,206,1,Low,1539
Chittagong,Cholon Beel,Sirajganj,Picnic Spot,424,1,Low,1550
Khulna,Cox's Bazar Sea Beach,Cox's Bazar,Sea Beach,492,3,High,11809
Chittagong,Baniachong Zamindar Bari,Habiganj,Historical Palace,297,1,Medium,2715
Khulna,Lalon Shah Mazar,Kushtia,Historical Palace,157,1,Low,1513
Mymensingh,Kuakata Beach,Barisal,Sea Beach,408,4,Medium,18937
Rajshahi,Jadipai Waterfall,Bandarban,Waterfall,633,1,Medium,3118
Dhaka,Paharpur Buddhist Monastery,Naogaon,Historical Palace,244,1,Low,1639
Khulna,Shahjalal Dargah,Sylhet,Historical Palace,440,1,Medium,2853
Mymensingh,Malnichhara Tea Garden,Sylhet,Picnic Spot,198,1,Low,1314
Mymensingh,Patenga Beach,Chittagong,Sea Beach,373,6,Medium,17960
Dhaka,Kurigram Eco Park,Kurigram,Park,338,1,Low,2823
Cumilla,Shitolaksha River,Narayanganj,Picnic Spot,327,1,Medium,1550
Barisal,Muktagacha ZamidarBari,Mymensingh,Historical Palace,304,1,Low,2368
Rajshahi,Lawachara National Park,Sylhet,Park,397,1,Low,2814
Barisal,Aparajeyo Bangla,Dhaka,Historical Palace,179,1,Low,1736
Dhaka,Jaflong,Sylhet,Picnic Spot,295,1,Medium,2311
Rangpur,Nafakhum Waterfall,Bandarban,Waterfall,558,1,Medium,3404
Mymensingh,Bangladesh National Zoo,Dhaka,Park,117,1,Low,1387
Sylhet,Inani Beach,Cox's Bazar,Sea Beach,519,5,High,11746
Sylhet,Swapnapuri Amusement Park,Dinajpur,Picnic Spot,487,1,Low,2501
Dhaka,Baliati  Zamindar Bari,Manikganj,Historical Palace,72,1,Low,1629
Rajshahi,Zaflong Tea Garden,Sylhet,Picnic Spot,506,1,Medium,1842
Sylhet,Jatiyo Sriti Shoudho,Savar,Historical Palace,256,1,Low,2588
Barisal,Mahasthangarh,Bogura,Historical Palace,378,1,Medium,2525
Mymensingh,Kurigram Eco Park,Kurigram,Park,335,1,Low,2014
Khulna,Ahsan Monjil,Dhaka,Historical Palace,204,1,Medium,1682
Cumilla,Nilachal,Bandarban,Hills,220,4,Medium,7401
Dhaka,Swapnapuri Amusement Park,Dinajpur,Picnic Spot,284,1,Low,2988
Sylhet,Mawa Ghat,Munshiganj,Picnic Spot,273,1,Low,2457
Mymensingh,Muktagacha ZamidarBari,Mymensingh,Historical Palace,23,1,Low,332
Khulna,Patenga Beach,Chittagong,Sea Beach,353,7,Medium,17166
Rangpur,Mahasthangarh,Bogura,Historical Palace,95,1,Low,1764
Sylhet,Bayazid Bostami Shrine,Chittagong,Historical Palace,352,1,Medium,2028
Cumilla,Madhabkunda Waterfall,Moulvibazar,Waterfall,230,2,Low,3049
Sylhet,Bhola Circuit House,Bhola,Picnic Spot,363,1,Low,2279
Khulna,Maheshkhali Island,Cox's Bazar,Island,452,5,High,16856
Chittagong,Fatra's Char,Patuakhali,Island,339,3,High,15054
